"DATE","SIF_740","PREC","TEMP","PET","WET"
"2012-12","0.135172337293625","0.9","24","4.3","0"
"2013-01","0.0811221301555634","0","21.2","4.1","0"
"2013-02","0.0556849353015423","0","23","4.6","0"
"2013-03","-0.0834332704544067","0","25.8","5.6","0"
"2013-04","0.00221378915011883","0","27.7","5.8","0"
"2013-05","0.0967534482479095","0","29.8","6","0"
"2013-06","0.195995897054672","214.5","29.6","4.7","7"
"2013-07","0.682414591312408","279.4","27.5","3.5","15"
"2013-08","0.871651887893677","94.7","27.4","3.6","10"
"2013-09","0.655279159545898","122.1","28.2","3.9","7"
"2013-10","0.356175690889359","50.8","28.5","4.8","4"
"2013-11","0.271599501371384","0.2","26.2","4.5","0"
"2013-12","0.364358842372894","0","22.8","4","0"
"2014-01","0.672591686248779","0","20.5","4","0"
"2014-02","0.209225654602051","0","22.4","4.5","0"
"2014-03","-0.140042081475258","0","25.5","5.5","0"
"2014-04","0.0962521284818649","0","27.6","5.8","0"
"2014-05","0.0510485358536243","0","29.7","5.8","0"
"2014-06","0.0705654248595238","66.8","31","5.8","4"
"2014-07","0.580611705780029","262.5","29.2","3.9","10"
"2014-08","0.352610766887665","251","28.1","3.8","10"
"2014-09","0.639670968055725","252.2","27.9","3.8","9"
"2014-10","0.424135863780975","47.1","28.9","4.9","2"
"2014-11","0.302917301654816","13.4","27.7","4.6","2"
"2014-12","0.362238109111786","0.2","23.1","4.1","0"
"2015-01","0.478997766971588","0","21.4","4","0"
"2015-02","0.44201448559761","0","23.7","4.8","0"
"2015-03","0.156937599182129","1","25.7","5.5","0"
"2015-04","0.297957539558411","0","28.6","5.8","0"
"2015-05","0.364445239305496","0.1","30.3","6.1","0"
"2015-06","-0.0230142045766115","310.4","30.1","5","9"
"2015-07","0.558250188827515","194.3","29.1","4","8"
"2015-08","0.387062132358551","12.5","28.4","3.8","4"
"2015-09","1.06353378295898","92.3","28.7","4.3","4"
"2015-10","0.397603631019592","0.5","29.5","5.2","0"
"2015-11","0.12977097928524","6.4","27.7","4.6","0"
"2015-12","0.136897996068001","0","23.4","4.2","0"
